extractor,judge_a,judge_b,mean_a,mean_b,delta,p_raw,p_adj_BH,sig
Gemma-3-27B,Gemma-3-27B,Qwen2.5-7B,2.593,2.037,0.556,0.001,0.0047,**
Gemma-3-27B,Gemma-3-27B,Claude-Sonnet-4.6,2.593,2.296,0.296,0.0426,0.0872,ns
Gemma-3-27B,Gemma-3-27B,GPT-4.1,2.593,2.444,0.148,0.2643,0.3498,ns
Gemma-3-27B,Qwen3-32B,Llama-3.1-8B,2.815,2.093,0.722,0.0,0.0,***
Gemma-3-27B,Qwen3-32B,Llama-3.2-3B,2.815,2.141,0.674,0.0,0.0,***
Gemma-3-27B,Qwen3-32B,Qwen2.5-7B,2.815,2.037,0.778,0.0,0.0,***
Gemma-3-27B,Qwen3-32B,Claude-Sonnet-4.6,2.815,2.296,0.519,0.0006,0.0032,**
Gemma-3-27B,Qwen3-32B,GPT-4.1,2.815,2.444,0.37,0.0113,0.0317,*
Gemma-3-27B,Llama-3.1-8B,Llama-3.2-3B,2.093,2.141,-0.048,0.7984,0.8228,ns
Gemma-3-27B,Llama-3.1-8B,Qwen2.5-7B,2.093,2.037,0.056,0.8045,0.8228,ns
Gemma-3-27B,Llama-3.1-8B,Claude-Sonnet-4.6,2.093,2.296,-0.204,0.1314,0.2111,ns
Gemma-3-27B,Llama-3.1-8B,GPT-4.1,2.093,2.444,-0.352,0.0155,0.0411,*
Gemma-3-27B,Llama-3.2-3B,Qwen2.5-7B,2.141,2.037,0.104,0.9937,0.9937,ns
Gemma-3-27B,Llama-3.2-3B,Claude-Sonnet-4.6,2.141,2.296,-0.156,0.2101,0.2865,ns
Gemma-3-27B,Llama-3.2-3B,GPT-4.1,2.141,2.444,-0.304,0.0304,0.0685,ns
Gemma-3-27B,Qwen2.5-7B,Claude-Sonnet-4.6,2.037,2.296,-0.259,0.2072,0.2865,ns
Gemma-3-27B,Qwen2.5-7B,GPT-4.1,2.037,2.444,-0.407,0.0298,0.0685,ns
Gemma-3-27B,Claude-Sonnet-4.6,GPT-4.1,2.296,2.444,-0.148,0.3622,0.4528,ns
